id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
0900350440	New Britain town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900150580	New Canaan town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900150860	New Fairfield town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900551350	New Hartford town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900952070	New Haven town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0901152350	New London town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900552630	New Milford town	CT09	CT	09	Western Connecticut Council of Governments	0	#N/A			
0900352140	Newington town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900152980	Newtown town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900553470	Norfolk town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900953890	North Branford town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900554030	North Canaan town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900954870	North Haven town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0901155500	North Stonington town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900156060	Norwalk town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901156270	Norwich town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0901157040	Old Lyme town	CT03	CT	03	Lower CT River Valley Council of Governments	CT08	"Norwich-New London, CT"			
0900757320	Old Saybrook town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900957600	Orange town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900958300	Oxford town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0901559980	Plainfield town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900360120	Plainville town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900560750	Plymouth town	CT04	CT	04	Naugatuck Valley Council of Governments	0	#N/A			
0901561030	Pomfret town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900761800	Portland town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
