id	county	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name
02170	Matanuska-Susitna Borough	AK50	AK	50	Anchorage Metropolitan Area Transportation Solutions	AK50	Anchorage, AK
04003	Cochise County	AZ05	AZ	05	Southeastern Arizona Governments Organization	AZ05	Sierra Vista-Douglas, AZ
04005	Coconino County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Flagstaff, AZ
04013	Maricopa County	AZ02	AZ	02	Maricopa Association of Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ
04015	Mohave County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Lake Havasu City-Kingman, AZ
04019	Pima County	AZ04	AZ	04	Pima Association of Governments	AZ04	Tucson, AZ
04021	Pinal County	AZ01	AZ	01	Central Arizona Governments	AZ02	Phoenix-Mesa-Scottsdale, AZ
04025	Yavapai County	AZ03	AZ	03	Northern Arizona Council of Governments	AZ03	Prescott, AZ
04027	Yuma County	AZ06	AZ	06	Western Arizona Council of Governments	AZ06	Yuma, AZ
05025	Cleveland County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR
05031	Craighead County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR
05033	Crawford County	AR03	AR	03	Western Arkansas Planning and Development District	AR03	Fort Smith, AR-OK
05035	Crittenden County AR07 TN02	TN02	TN	02	Memphis Area Association of Governments	TN02	Memphis, TN-MS-AR
05035	Crittenden County AR07 TN02	AR07	AR	07	East Arkansas Planning and Development District	TN02	Memphis, TN-MS-AR
05045	Faulkner County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR
05053	Grant County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR01	Little Rock-North Little Rock-Conway, AR
05069	Jefferson County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR
05079	Lincoln County	AR06	AR	06	Southeast Arkansas Econonic Development District	AR06	Pine Bluff, AR
05081	Little River County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR
05085	Lonoke County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR
05087	Madison County	AR02	AR	02	Northwest Arkansas Economic Development District	AR02	Fayetteville-Springdale-Rogers, AR-MO
05091	Miller County	AR05	AR	05	Southwest Arkansas Planning and Development District	TX05	Texarkana, TX-AR
05105	Perry County	AR04	AR	04	West Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR
05111	Poinsett County	AR07	AR	07	East Arkansas Planning and Development District	AR07	Jonesboro, AR
05119	Pulaski County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR
05125	Saline County	AR01	AR	01	Central Arkansas Planning and Development District	AR01	Little Rock-North Little Rock-Conway, AR
05131	Sebastian County	AR03	AR	03	Western Arkansas Planning and Development District	AR03	Fort Smith, AR-OK
05143	Washington County	AR02	AR	02	Northwest Arkansas Economic Development District	AR02	Fayetteville-Springdale-Rogers, AR-MO
06001	Alameda County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA
06007	Butte County	CA03	CA	03	Butte County Association of Governments	CA03	Chico, CA
06013	Contra Costa County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA
06019	Fresno County	CA04	CA	04	Fresno Council of Governments	CA04	Fresno, CA
06025	Imperial County	CA15	CA	15	Southern California Association of Governments	CA15	El Centro, CA
06029	Kern County	CA06	CA	06	Kern Council of Governments	CA06	Bakersfield, CA
06031	Kings County	CA07	CA	07	Kings County Association of Governments	CA07	Hanford-Corcoran, CA
06037	Los Angeles County	CA15	CA	15	Southern California Association of Governments	CA15	Los Angeles-Long Beach-Anaheim, CA
06039	Madera County	CA50	CA	50	Madera County Transportation Commission	CA50	Madera, CA
06041	Marin County	CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA
06047	Merced County	CA05	CA	05	Merced County Association of Governments	CA05	Merced, CA
06053	Monterey County	CA02	CA	02	Association of Monterey Bay Area Governments	CA02	Salinas, CA
06055	Napa County	CA01	CA	01	Association of Bay Area Governments	CA01	Napa, CA
06059	Orange County	CA15	CA	15	Southern California Association of Governments	CA15	Los Angeles-Long Beach-Anaheim, CA
06065	Riverside County	CA15	CA	15	Southern California Association of Governments	CA15	Riverside-San Bernardino-Ontario, CA
06069	San Benito County	CA02	CA	02	Association of Monterey Bay Area Governments	CA01	San Jose-Sunnyvale-Santa Clara, CA
06071	San Bernardino County	CA15	CA	15	Southern California Association of Governments	CA15	Riverside-San Bernardino-Ontario, CA
06073	San Diego County	CA14	CA	14	San Diego Association of Governments	CA14	San Diego-Carlsbad, CA
06075	San Francisco, City and County of[10]CA01	CA	01	Association of Bay Area Governments	CA01	San Francisco-Oakland-Hayward, CA
06077	San Joaquin County	CA08	CA	08	San Joaquin Council of Governments	CA08	Stockton-Lodi, CA
06079	San Luis Obispo County	CA17	CA	17	San Luis Obsipo Council of Governments	CA17	San Luis Obispo-Paso Robles-Arroyo Grande, CA
